center,angle
[122  17],132.1875
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[124  16],126.5625
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[29 76],2.8125
[122  10],126.5625
[29 76],2.8125
